name,status,espnId,dob,citizenship,debutUsed,checkNote
Acoidan Duque,found,3095057,1987-12-14,Spain,2009-11-07,
Oleg Borisov,found,3113309,1983-02-14,,2007-11-11,
Douglas Silva de Andrade,found,3090893,1985-06-22,Brazil,2007-05-11,
Kamil Magomedov,found,5098307,1992-07-17,Russia,2012-07-03,
Ciryl Gane,found,4426000,1990-04-12,France,2018-08-02,
Jon Fitch,found,2335665,1978-02-24,USA,2002-07-13,
Cory Sandhagen,found,4294504,1992-04-20,USA,2015-05-30,
Thad Jean,found,5120974,1998-07-16,Haiti,2021-08-06,
Maharbek Karginov,miss,,,,,
Soren Bak,found,4215229,1992-07-22,Denmark,2012-12-13,
Benoit St. Denis,miss,,,,,
Jason Soares,found,4320886,1989-11-04,USA,2012-03-30,
Patrik Kincl,found,2511445,1989-07-21,Czechia,2007-03-25,
Cheick Kongo,found,2335655,1975-05-17,France,2001-06-10,
Israel Adesanya,found,4285679,1989-07-22,Nigeria,2012-03-24,
Carlos Leal,found,3146349,1994-05-04,Brazil,2012-10-06,
Christian Leroy Duncan,found,4848674,1995-07-24,England,2020-09-26,
Archie Colgan,found,4878438,1995-07-22,USA,2021-03-19,
Amir Albazi,rejected,4684848,1993-10-27,,2009-08-22,implausible: debut age 15.8
Viktor Nemkov,found,2557937,1987-01-26,Russia,2008-02-22,
Ylies Djiroun,found,4277816,1992-05-17,Algeria,2011-10-29,
Rafael Lovato Jr.,found,3928535,1983-06-25,USA,2014-09-26,
Rafa Garcia,found,4690549,1994-08-05,Mexico,2014-10-18,
Anthony Johnson,found,2335663,1984-03-06,USA,2006-08-18,
Francimar Barroso,found,2996767,1980-02-28,Brazil,2005-05-16,
Myktybek Orolbai,found,5050129,1998-02-10,Kyrgyzstan,2018-08-12,
Maike Linhares Galvao Amorim,miss,,,,,
Predrag Bogdanovic,miss,5146309,,,,no dob on record
Michael McDonald,ambiguous,,,,,3 MMA ids
Said Nurmagomedov,found,3903378,1992-04-05,Russia,2009-08-22,
Chris Gutierrez,found,3961293,1991-04-22,USA,2013-06-15,
Max Coga,found,3105014,1989-06-24,Germany,2011-04-09,
Viktor Kolesnik,found,4329390,1996-03-07,Russia,2013-08-16,
Shoko Sato,found,2509777,1987-08-21,Japan,2008-04-26,
Renato Carneiro,miss,,,,,
Felipe Douglas,ambiguous,,,,,4 MMA ids
Paul Daley,found,2447601,1983-02-21,England,2003-06-29,
Yunus Evloev,miss,2970371,,,,no dob on record
Islam Reda,found,5124154,1993-12-16,Egypt,2013-05-03,
Sergey Morozov,found,3960665,1989-06-14,Kazakhstan,2006-10-26,
Renat Khavalov,found,5222162,1998-08-06,Russia,2019-07-13,
Shintaro Ishiwatari,found,2509773,1985-02-21,Japan,2006-03-03,
Marlon Sandro,found,2504568,1977-03-08,,2004-11-06,
Ali Bagautinov,found,3044633,1985-06-12,Russia,2009-12-19,
Sharaf Davlatmurodov,found,4289879,1992-04-02,Tajikistan,2015-04-10,
Amin Ayoub,found,4415122,1995-11-08,France,2014-11-29,
Abdul Hussein,found,4905308,1997-08-02,Finland,2016-11-26,
Will Fleury,found,4279622,1989-03-13,Ireland,2016-04-02,
Valter Walker,found,5147389,1997-12-14,Brazil,2020-10-04,
Linton Vassell,found,3068118,1983-06-03,England,2008-03-01,
Leon Edwards,found,3152929,1991-08-25,England,2011-06-05,
Alex da Silva Coelho,miss,,,,,
Dovletdzhan Yagshimuradov,miss,,,,,
Youssef Zalal,found,4351319,1996-09-04,Morocco,2017-08-19,
Anatoly Malykhin,found,4566264,1988-01-11,Russia,2016-09-17,
Marcin Held,found,2554001,1992-01-18,Poland,2008-09-28,
Maxim Grishin,found,2558492,1984-05-02,Russia,2008-05-24,
Karshyga Dautbek,found,4042101,1993-12-07,Kazakhstan,2015-03-13,
Erivan Pereira,miss,5146239,,,,no dob on record
Vladyslav Rudniev,miss,,,,,
Kamaru Usman,found,3088812,1987-05-11,Nigeria,2012-11-30,
Jack Shore,found,4319793,1995-02-06,Wales,2016-03-05,
Stephen Loman,found,4611298,1992-01-01,Philippines,2012-12-15,
Desmond Green,found,3039667,1989-10-11,USA,2012-04-01,
Josinaldo Silva,miss,,,,,
Fabian Edwards,found,4341543,1993-03-24,England,2017-05-19,
Travis Wiuff,found,2431320,1978-03-15,USA,2001-09-07,
Rob Wilkinson,found,4249028,1992-02-22,Australia,2011-10-15,
Raphael Assuncao,found,2354364,1982-07-19,Brazil,2004-01-23,
Mansour Barnaoui,found,3067201,1992-09-20,Tunisia,2011-02-19,
Ante Delija,found,3041315,1990-08-07,Croatia,2011-01-22,
Lance Palmer,found,3003039,1988-02-07,USA,2011-05-20,
Soo Chul Kim,found,2995063,1991-12-10,South Korea,2010-08-08,
Jarred Brooks,found,4036094,1993-05-02,USA,2014-08-09,
Kevin Nowaczyk,miss,2596594,,,,no dob on record
Tyrell Fortune,found,4065006,1990-07-04,USA,2016-11-04,
Joaquin Buckley,found,4024714,1994-04-27,USA,2014-09-13,
Thomas Almeida,found,3071362,1991-07-31,Brazil,2011-05-21,
Jeremy Kennedy,found,4034830,1992-09-16,Canada,2013-06-08,
Erick Visconde,found,5077314,1996-11-21,Brazil,2017-07-09,
David Rickels,found,2557338,1989-01-05,,2010-02-13,
Khotam Boynazarov,miss,5363624,,,,no dob on record
Keito Yamakita,found,5194556,1996-08-04,Japan,2020-02-16,
Sarah Kaufman,found,2519810,1985-09-20,Canada,2006-06-03,
Antonio Carlos Jr.,found,3108772,1990-03-16,Brazil,2013-07-20,
Shota Betlemidze,found,4421732,1981-02-06,Georgia,2011-02-20,
Nikola Joksovic,found,5312087,1994-09-11,Serbia,2017-08-19,
David Kozma,found,3088248,1992-08-13,Czechia,2010-12-05,
Jonathan Martinez,ambiguous,,,,,2 MMA ids
Brandon Moreno,found,3027545,1993-12-07,Mexico,2011-04-30,
Furkatbek Yokubov,found,4895693,1994-10-28,Uzbekistan,2017-04-06,
Ray Borg,found,3098604,1993-08-04,USA,2012-08-11,
Akhmed Shervaniev,miss,,,,,
Nathan Maness,miss,,,,,
Pat Curran,found,2501983,1987-08-31,USA,2008-02-23,
Joseph Morales,found,4238229,1994-08-22,USA,2014-12-13,
Levy Saul Marroquin,rejected,4335927,,,,name mismatch: Levy Saul Marroquín Salazar
Stefano Paterno,found,4349719,1995-08-18,Italy,2012-07-21,
Alex Pereira,found,4705658,1987-07-07,Brazil,2015-10-24,
Salahdine Parnasse,found,4312859,1997-12-04,France,2015-10-31,
Leandro Higo,found,3028866,1989-01-19,Brazil,2006-05-04,
Curtis Blaydes,found,3922557,1991-02-18,USA,2014-05-31,
Max Holzer,found,5212866,2002-01-02,Germany,2020-02-29,
Yuya Wakamatsu,found,4046614,1995-02-09,Japan,2015-06-21,
Abdulmutalib Gairbekov,miss,4422076,,,,no dob on record
Ryuya Fukuda,found,4243999,1992-06-12,Japan,2011-06-05,
Asaf Chopurov,miss,,,,,
Fabricio Jonas da Silva Martins,miss,,,,,
Aaron Pico,found,4199009,1996-09-23,USA,2017-06-24,
Iuri Alcantara,found,2532872,1980-08-04,Brazil,2003-09-12,
Mateusz Legierski,found,4907504,1996-07-23,Poland,2018-09-22,
Dakota Bush,found,4372290,1994-06-09,USA,2016-01-15,
Beneil Dariush,found,3085551,1989-05-06,USA,2009-11-20,
Aiemann Zahabi,found,4079149,1987-11-19,Canada,2012-11-30,
Eduardo Dantas,found,2558369,1989-02-03,Brazil,2007-03-24,
Stephan Puetz,found,3094511,1987-04-08,Germany,2012-03-31,
Ryuichiro Sumimura,found,4344665,1986-02-14,Japan,2009-11-29,
Humberto Bandenay,found,3953370,1994-09-04,Peru,2013-02-27,
Dave Jansen,found,2504177,1979-08-21,,2007-09-22,
Mikuru Asakura,found,4352431,1992-07-15,Japan,2012-09-16,
LiLe Du,miss,,,,,
Matheus Nicolau,ambiguous,,,,,2 MMA ids
Omari Akhmedov,found,3070416,1987-10-12,Russia,2010-01-30,
Vartan Asatryan,miss,4294925,,,,no dob on record
Rob Font,found,3090451,1987-06-25,Puerto Rico,2011-12-03,
Takeshi Kasugai,found,3996974,1988-07-27,Japan,2009-02-08,
Mitchell McKee,miss,,,,,
John Salter,found,2504230,1985-03-21,USA,2009-03-27,
Chad Mendes,found,2504172,1985-05-01,USA,2008-09-26,
Ali Abdulkhalikov,found,4413558,1993-07-30,Russia,2013-09-14,
Rizvan Abuev,found,4295764,1992-04-19,Russia,2011-10-05,
Quinton Jackson,found,2335470,1978-06-20,USA,1999-11-13,
Tom Aspinall,found,4010976,1993-04-11,England,2014-12-13,
Gilberto Dias,found,3900146,1984-03-20,Brazil,2007-05-26,
Eldar Eldarov,found,2966184,1991-06-03,Russia,2009-08-08,
Paul Hughes,found,4712360,1997-03-27,Ireland,2017-02-24,
Nicolas Dalby,found,3026267,1984-11-16,Denmark,2010-03-06,
Kai Kara-France,found,4243885,1993-03-26,New Zealand,2010-11-27,
Vladimir Kanunnikov,found,4293545,1993-06-17,,2013-04-14,
Avazbek Kholmirzaev,miss,,,,,
Fabricio de Assis Costa da Silva,miss,3120455,,,,no dob on record
Mashrabjon Ruziboev,found,5266743,1996-02-16,Uzbekistan,2016-10-02,
Weili Zhang,found,4350762,1989-08-13,China,2015-12-19,
Lazaro Dayron,found,5149044,1992-07-25,Cuba,2021-06-25,
Alexander Podlesniy,miss,4683528,,,,no dob on record
Mansur Malachiev,miss,5173846,,,,no dob on record
Kasum Kasumov,found,5152982,1994-07-19,Russia,2013-08-12,
Khalid Murtazaliev,found,4294263,1993-07-15,Russia,2013-06-27,
Bruno Henrique Da Silva,miss,,,,,
Chris Wade,found,3027534,1987-09-30,USA,2011-11-18,
Derek Anderson,found,3058462,1990-02-20,USA,2011-08-06,
Alfie Davis,found,4820893,1992-02-25,England,2014-02-01,
Jefferson Nascimento,ambiguous,,,,,2 MMA ids
Lucia Szabova,miss,5130185,,,,no dob on record
Aigun Akhmedov,found,3087911,1988-03-18,Russia,2012-01-30,
Boris Medvedev,miss,5138112,,,,no dob on record
Ronald Paradeiser,found,4911832,1997-06-13,Slovakia,2014-06-22,
Khabib Nabiev,miss,5331213,,,,no dob on record
Shavkat Rakhmonov,found,4020699,1994-10-23,Kazakhstan,2015-07-03,
Henry Cejudo,miss,,,,,
Levi Mowles,miss,,,,,
Paulo Costa,ambiguous,,,,,2 MMA ids
Mukhamed Berkhamov,found,4085672,1994-01-17,Russia,2013-01-19,
Samandar Murodov,miss,,,,,
Ismail Naurdiev,found,4412813,1996-08-18,Morocco,2012-11-17,
Mohammad Fakhreddine,found,4683999,1984-07-20,Lebanon,2012-12-14,
Kurban Gadzhiev,miss,3098137,,,,no dob on record
Bruno Azevedo,miss,3143721,,,,no dob on record
Kelly Kobold-Schmitz,miss,,,,,
Mads Burnell,found,4251918,1994-03-06,Denmark,2013-09-26,
Daniel Straus,found,2523678,1984-07-27,USA,2009-02-07,
Azamat Bekoev,found,5123963,1995-12-30,Russia,2015-09-27,
Brett Johns,miss,,,,,
Isao Kobayashi,found,3018315,1988-10-28,Japan,2008-04-26,
Agy Sardari,found,4704095,1993-05-16,Netherlands,2014-05-04,
Abdurakhman Alimagomedov,found,5109198,1998-02-25,Russia,2016-07-25,
Luan Santiago,found,4895373,1994-10-19,Brazil,2013-04-25,
Levan Chokheli,found,4867651,1996-10-02,Georgia,2016-04-03,
Robert Watley,found,4236070,1989-08-23,USA,2014-06-21,
J.J. Ambrose,found,2555633,1987-02-06,USA,2005-11-12,
Roman Bogatov,found,4394752,1990-12-15,Russia,2016-03-04,
Gerald Harris,found,2502712,1979-11-19,,2006-08-11,
Alejandro Perez,miss,,,,,
Matheus Henrique Correia,miss,,,,,
Amru Magomedov,found,5264795,1999-06-02,Russia,2020-07-11,
Jeremy Spoon,found,2514771,1985-04-01,,2008-10-04,
Michel Prazeres,found,3028712,1981-07-25,Brazil,2000-10-09,
Erin Blanchfield,found,4350796,1999-05-04,USA,2018-03-24,
Renan Oliveira,found,5265427,1993-04-24,Brazil,2019-09-28,
Marlon Vera,found,3155424,1992-12-02,Ecuador,2010-07-24,
Raimundo Batista,miss,,,,,
Su Young You,miss,,,,,
Vugar Karamov,found,5191892,1992-02-20,Azerbaijan,2012-04-06,
Alexey Polpudnikov,found,4287633,1992-09-15,Russia,2010-12-04,
Jay-Jay Wilson,ambiguous,,,,,2 MMA ids
Kyoma Akimoto,found,5396648,2006-03-08,Japan,2022-06-26,
Alimardan Abdykarov,miss,,,,,
Rani Yahya,found,2503659,1984-09-12,Brazil,2002-09-14,
Khasan Magomedsharipov,found,4715264,2000-10-06,Russia,2019-12-06,
Sharif Kushaev,miss,,,,,
Fernando Laurenco,miss,,,,,
Renan Barao,found,2504550,1987-01-31,Brazil,2005-04-14,
Dominick Reyes,found,4233039,1989-12-26,USA,2014-12-04,
Sergey Romanov,found,4274910,1990-01-30,Russia,2016-04-08,
Gurdarshan Mangat,found,4695733,1987-01-24,Canada,2011-05-28,
Charles Jourdain,found,4421978,1995-11-27,Canada,2016-05-21,
Ervani Rodrigo Melonio,miss,,,,,
Axel Sola,found,5245078,1997-09-17,France,2021-03-25,
Attila Vegh,found,2506251,1985-08-09,Russia,2008-03-29,
John Hathaway,found,2335810,1987-07-01,England,2006-06-25,
Rafael Barbosa,found,4334759,1997-10-23,Brazil,2016-05-21,
Bogdan Guskov,found,5152109,1992-09-12,Uzbekistan,2015-12-20,
Takasuke Kume,found,3026265,1985-04-28,Japan,2007-03-25,
Michael Chandler,found,2504988,1986-04-24,USA,2009-08-08,
Ben Henderson,miss,,,,,
Richie Miranda,found,5092208,1994-08-12,USA,2021-02-27,
Fabio Henrique Dourado,miss,,,,,
Brent Primus,found,3902688,1985-04-12,USA,2010-09-24,
Jose Mariscal,miss,,,,,
Mehemmedali Osmanli,miss,,,,,
Yusup Saadulaev,found,2578775,1985-03-31,Russia,2008-09-10,
Anvarbek Daniyalbekov,found,5212599,1995-05-27,Russia,2018-01-19,
Brian Ortega,found,3045737,1991-02-21,USA,2010-04-25,
Alexandre Bezerra,found,2558498,1987-09-25,Brazil,2008-07-19,
Eric Shelton,found,3122041,1991-02-02,USA,2013-07-20,
Carlos Petruzzella,found,5264647,1997-03-29,Argentina,2021-09-04,
Imran Bukuev,miss,,,,,
Felix Klinkhammer,miss,5078427,,,,no dob on record
Ion Pascu,found,3075572,1982-04-18,Romania,2008-10-31,
Brandon Royval,found,4239928,1992-08-16,USA,2012-08-17,
Keita Nakamura,found,2335825,1984-05-22,Japan,2003-10-12,
Enrique Barzola,found,3901014,1989-04-28,Peru,2012-12-12,
Chance Rencountre,found,3931158,1986-12-31,USA,2013-03-08,
Sheymon Moraes,ambiguous,,,,,2 MMA ids
Zubaira Tukhugov,ambiguous,,,,,2 MMA ids
Kimihiro Eto,found,4695735,1988-12-19,Japan,2013-07-15,
Xian Ji,found,3151288,1987-07-16,,2009-03-22,
Khurshed Kakhorov,found,4878526,1992-02-20,Germany,2017-09-23,
Simeon Powell,found,4915658,1999-02-06,England,2021-08-21,
Felipe Lima,found,5101694,1998-05-07,Brazil,2015-08-08,
Henry Corrales,found,3892809,1986-08-11,USA,2011-05-01,
Bozigit Ataev,found,2500906,1979-03-12,Russia,2000-05-21,
Antonio Duarte,miss,2617737,,,,no dob on record
Adilet Nurmatov,found,5361803,1997-08-02,Kyrgyzstan,2019-02-10,
Niushiyue Ji,miss,4896590,,,,no dob on record
Jim Wallhead,miss,,,,,
Magomed Umalatov,found,4832859,1992-04-03,Russia,2018-09-08,
Michinori Tanaka,found,3084129,1990-10-04,Japan,2010-10-16,
Modestas Bukauskas,found,4279621,1994-02-10,Lithuania,2015-05-02,
Kalybek Arzykul Uulu,miss,5364282,,,,no dob on record
Andres Quintana,found,3032223,1991-07-15,USA,2011-02-11,
Ben Askren,found,2500597,1984-07-18,USA,2009-08-28,
Atanas Djambazov,found,3019208,1969-12-31,Bulgaria,2007-05-12,
Vicente Vargas,miss,4243866,,,,no dob on record
Luke Riley,found,5146696,1999-06-30,England,2021-12-10,
Jose Ferreira,miss,,,,,
James Nakashima,found,3931157,1988-10-26,USA,2015-01-09,
Rei Tsuruya,found,5137012,2002-06-22,Japan,2021-02-21,
Joziro Boye,found,3098145,1985-05-03,Netherlands,2008-11-28,
Darko Stosic,found,3996934,1992-02-09,Serbia,2012-06-23,
Timur Valiev,found,3112007,1990-01-19,Russia,2010-09-04,
Antun Racic,found,3900371,1990-09-05,Croatia,2009-04-25,
Mansher Khera,found,5246799,1992-04-15,USA,2021-12-17,
Josh Emmett,found,4011299,1985-03-04,USA,2011-10-08,
Marcelo Marques,miss,4712773,,,,no dob on record
Diego Gomez Manzur,miss,,,,,
Shane Burgos,found,4076470,1991-03-19,USA,2013-07-26,
Valentin Moldavsky,found,4076780,1992-02-06,Russia,2015-02-21,
Leandro Silva,miss,,,,,
George Staines,miss,,,,,
Milos Janicic,found,4708540,1997-05-03,Montenegro,2015-07-27,
Drakkar Klose,found,4079621,1988-03-09,USA,2015-06-06,
Laurynas Urbonavicius,found,4331571,1988-04-04,Lithuania,2016-01-23,
Saidyokub Kakhramonov,found,4571945,1995-11-14,Uzbekistan,2017-04-15,
Ali Isaev,found,4295763,1983-12-18,Russia,2016-04-29,
Chihiro Sawada,found,5207722,1997-11-23,Japan,2021-05-16,
Denis Oliveira,miss,,,,,
Hakeem Dawodu,found,3165010,1991-07-02,Canada,2014-02-21,
Phumi Nkuta,found,5083250,1995-07-27,USA,2019-10-25,
Vladyslav Parubchenko,miss,,,,,
Charles Johnson,found,4375156,1991-01-10,USA,2016-06-03,
Sean Santella,found,2555673,1984-10-25,USA,2008-11-21,
Cody Stamann,found,4046059,1989-11-09,USA,2011-11-19,
Shuya Kamikubo,found,4801524,1993-04-12,Japan,2014-09-28,
Marcos Degli,found,5143890,2000-05-13,Brazil,2021-05-02,
Jon Jones,ambiguous,,,,,2 MMA ids
Bubba Jenkins,found,2611321,1988-02-05,USA,2011-12-02,
Aaron McKenzie,found,4700623,1988-07-20,USA,2015-09-26,
Daud Shaikhaev,miss,4359671,,,,no dob on record
Serghei Spivac,found,4421246,1995-01-24,Moldova,2014-09-28,
Glaico Franca,found,3901117,1991-02-28,Brazil,2012-05-05,
Murad Magomedov,miss,3024554,,,,no dob on record
Myles Jury,found,2960676,1988-10-31,USA,2006-10-07,
Jordan Johnson,miss,,,,,
Husein Kadimagomaev,found,5093699,1999-10-01,Switzerland,2018-10-06,
Daniel Cormier,found,2509290,1979-03-20,USA,2010-08-13,
Dastan Amangeldy,miss,5212289,,,,no dob on record
Gian Siqueira,found,4426293,1994-06-23,Brazil,2012-10-27,
Dustin Ortiz,found,2512958,1988-12-25,USA,2010-02-20,
Handesson Ferreira,found,4340935,1988-03-22,Brazil,2013-01-16,
Anatoliy Kondratyev,miss,,,,,
Yamato Nishikawa,rejected,5103256,2002-12-06,,2016-03-06,implausible: debut age 13.2
Braian Gonzalez,miss,4662452,,,,no dob on record
Velimurad Alkhasov,miss,4292756,,,,no dob on record
Jorge Rodrigues Silva,found,3916704,1977-02-11,,2004-03-09,
Daniel Requeijo,found,3952423,1984-04-07,Spain,2010-10-09,
Reginaldo Geraldo Jr.,miss,,,,,
Brett Martin,ambiguous,,,,,2 MMA ids
Karen Arzumanyan,miss,,,,,
Fatima Kline,found,5028019,2000-07-12,USA,2021-05-21,
Yuki Ito,miss,,,,,
Chris Padilla,found,3163772,1995-09-14,USA,2014-03-22,
Luke Trainer,found,4875324,1996-02-27,England,2019-03-02,
Everett Cummings,found,4407908,1984-11-16,USA,2012-02-26,
Killys Mota,found,4342216,1990-11-03,Brazil,2013-11-23,
Bruno Souza,ambiguous,,,,,3 MMA ids
Volkan Oezdemir,found,3110836,1989-09-19,Switzerland,2010-09-04,
Gabriel Santos,found,5109762,1996-11-28,Brazil,2014-09-20,
Jan Blachowicz,found,2506250,1983-02-24,Poland,2007-02-25,
Josh Hill,rejected,4028523,,,,name mismatch: Josh Clark
Rafael Pereira,miss,,,,,
Yoel Romero,found,2569939,1977-04-30,Cuba,2009-12-20,
Kazumasa Majima,found,4835432,1991-10-16,Japan,2013-03-03,
Emmanuel Sanchez,found,3044416,1990-08-11,USA,2011-11-19,
Sam Creasey,found,4284129,1988-02-19,England,2014-02-15,
Alden Coria,found,5099732,1998-04-24,USA,2019-08-23,
Tatsuya Ando,found,3912171,1990-04-26,Japan,2014-09-13,
Rafael do Nascimento,ambiguous,,,,,2 MMA ids
Asael Adjoudj,found,4894845,1999-01-16,Algeria,2020-02-22,
Jarrah Al-Silawi,ambiguous,,,,,2 MMA ids
Jefferson Goncalves,miss,,,,,
Azamat Pshukov,miss,,,,,
Damon Jackson,found,3099187,1988-08-08,USA,2012-09-22,
Jennifer Maia,found,3022348,1988-10-06,Brazil,2009-12-05,
Neil Magny,found,3001914,1987-08-03,USA,2010-08-07,
Otto Rodrigues,found,4291177,1988-03-28,Brazil,2007-12-01,
John Moraga,found,2970798,1984-03-20,USA,2009-11-07,
Yoshitaka Naito,found,3998033,1984-02-17,Japan,2012-08-25,
Hatef Moeil,found,4309467,1986-09-21,Germany,2015-09-18,
Jessin Ayari,found,4021651,1992-05-31,Germany,2009-10-17,
Ryohei Kurosawa,found,4814919,1993-05-10,Japan,2012-12-16,
Sebastian Przybysz,found,4375234,1993-07-28,Poland,2016-04-30,
Rasul Magomedov,ambiguous,,,,,4 MMA ids
Azat Maksum,found,5141967,1995-02-02,Kazakhstan,2017-05-20,
Mike Shipman,found,4084363,1990-06-17,England,2013-06-01,
Nkosi Ndebele,miss,4935334,,,,no dob on record
Demarte Pena,found,5060454,1989-09-23,Angola,2011-02-03,
Sadibou Sy,found,4231144,1986-11-27,Sweden,2013-10-19,
Carlos Soares,ambiguous,,,,,2 MMA ids
Ismail Khan,found,5362447,2002-08-20,Pakistan,2022-02-13,
Mackenzie Dern,found,4021217,1993-03-24,Brazil,2016-07-22,
Miljan Zdravkovic,miss,,,,,
Erik Perez,found,2960677,1989-11-19,Mexico,2008-05-03,
David Michaud,found,3102615,1988-11-10,USA,2009-04-25,
Daniil Donchenko,found,5289841,2001-08-04,Ukraine,2019-12-07,
Doo Ho Choi,miss,,,,,
Roman Kopylov,found,4300149,1992-05-04,Russia,2016-04-01,
Elismar Lima,found,4293180,1988-09-30,Brazil,2012-09-22,
Tom Breese,found,3140871,1991-09-26,England,2010-09-25,
Derrick Lewis,found,2560713,1985-02-07,USA,2010-04-09,
Basir Saraliev,found,5363742,1999-11-18,Turkmenistan,2018-04-29,
Philipe Lins,found,2959588,1985-08-17,Brazil,2005-08-26,
Sergey Bilostenniy,found,5137740,1995-10-23,Russia,2015-06-11,
Aydemir Kazbekov,miss,,,,,
Anthony Dizy,found,3153986,1988-07-12,France,2012-03-24,
Shizuka Sugiyama,found,3155845,1987-02-11,Japan,2008-11-16,
Jared Rosholt,found,3040876,1986-08-04,USA,2011-02-26,
Juan Pablo Vieira,miss,,,,,
Jorge Calvo,rejected,4038108,,,,name mismatch: Jorge Calvo Martin
Tyler Diamond,found,4350873,1991-03-18,USA,2015-03-14,
David Dvorak,found,4601431,1992-06-05,Czechia,2010-06-06,
Abdula Aliev,miss,4895695,,,,no dob on record
Gokhan Saricam,found,4588192,1991-02-26,Türkiye,2014-05-10,
Bojan Velickovic,found,3077809,1988-12-18,Serbia,2010-08-28,
Alexey Shurkevich,found,4884788,1992-04-30,Russia,2014-09-07,
Kaue Fernandes,found,5172124,1995-03-17,Brazil,2014-04-04,
Renat Ondar,found,4287631,1995-02-07,Russia,2015-08-08,
Ciaran Clarke,found,4881912,1995-05-25,Ireland,2019-09-27,
Bruno Santos,ambiguous,,,,,3 MMA ids
Fares Ziam,found,4083018,1997-03-21,France,2016-03-05,
Tae Kyun Kim,found,4039837,1994-03-28,South Korea,2017-10-27,
Dilano Taylor,found,4701975,1997-02-07,Jamaica,2019-02-16,
Slobodan Maksimovic,found,3988883,1989-01-23,,2010-08-28,
Justin Wren,found,2553022,1987-04-27,USA,2006-10-28,
Robert Whiteford,found,3077120,1983-04-12,Scotland,2009-05-23,
Nurkhan Zhumagazy,miss,,,,,
Luiz Cado,found,3147309,1992-11-28,Brazil,2011-06-17,
Ibragim Ibragimov,error,,,,,HTTP 503
Hector Saenz,found,5250465,1996-10-27,USA,2021-12-19,
Ilima-Lei Macfarlane,miss,,,,,
Dmytrii Hrytsenko,error,,,,,HTTP 503
Sundet Aytkul,miss,5289501,,,,no dob on record
Marcus McGhee,found,4895760,1990-05-07,USA,2020-02-15,
Richard Martins,miss,5122239,,,,no dob on record
Marcel Adur,found,3172618,1991-12-17,Brazil,2010-09-18,
Alibi Idiris,found,5264470,1994-10-22,Kazakhstan,2019-11-02,
Paris Moran,found,5060520,1996-02-04,USA,2019-11-09,
Marcos Breno,found,5014781,1997-09-26,Brazil,2015-04-04,
Rafael Fiziev,found,4339488,1993-03-05,Azerbaijan,2015-07-18,
Nicholas Hwende,found,5282639,1996-05-21,Zimbabwe,2021-08-14,
Andy Murad,miss,3104267,,,,no dob on record
Roman Dolidze,found,4411508,1988-07-15,Georgia,2016-12-09,
Lowen Tynanes,found,3020304,1990-10-21,USA,2011-09-25,
Yushin Okami,found,2335695,1981-07-21,Japan,2002-07-20,
Mark Climaco,found,4836247,1997-11-06,USA,2017-06-24,
Murad Guseinov,found,5345631,1998-06-12,Bahrain,2019-04-20,
Shido Boris Esperanca,ambiguous,,,,,2 MMA ids
Lewis McGrillen-Evans,miss,,,,,
Daichi Takenaka,found,4049972,1990-01-29,Japan,2012-06-17,
Derrick Krantz,found,2555489,1988-01-13,USA,2008-07-18,
Kevin Petshi,found,4052827,1990-05-15,France,2012-12-29,
Felipe Efrain,found,3922346,1993-11-23,Brazil,2013-07-04,
Kazbek Saidaliev,miss,3900790,,,,no dob on record
Hamza Kooheji,found,4356320,1993-01-30,Bahrain,2012-11-02,
Kamal Magomedov,found,4591016,1991-05-15,Russia,2013-12-30,
Alexander Bezkorovayny,found,4876270,1998-10-06,Ukraine,2017-08-27,
Gocha Shainidze,found,5214659,2002-03-24,Georgia,2022-09-02,
Adam Piccolotti,found,3250008,1988-10-23,USA,2013-11-02,
Alex Lohore,found,4082740,1989-12-19,France,2014-12-08,
Darren Elkins,found,2504168,1984-05-16,USA,2007-01-24,
Michael Graves,ambiguous,,,,,2 MMA ids
Azizbek Satybaldiev,miss,5073693,,,,no dob on record
Rodrigo Correia,rejected,3061094,,,,name mismatch: Rodrigo Cavalheiro Correia
Evgeniy Morozov,miss,,,,,
Luciano Palhano,found,4313895,1986-08-06,Brazil,2011-09-24,
Roman Lukashevich,miss,,,,,
Damir Tolenov,miss,,,,,
Teimur Zhaparov,miss,,,,,
Haruo Ochi,found,2950965,1984-02-07,Japan,2008-02-23,
Khalid Taha,found,4283575,1992-02-15,Lebanon,2013-04-06,
Lucas Miletich,miss,5145759,,,,no dob on record
Frankie Edgar,found,2335694,1981-10-16,USA,2005-07-10,
Raul Lemberanskij,miss,,,,,
Nikita Kulshin,miss,,,,,
Adam Proctor,found,4426001,1995-11-01,England,2014-11-29,
Evan Cutts,found,2609344,1990-11-24,USA,2011-04-23,
Juliana Velasquez,found,4257422,1986-10-19,Brazil,2014-12-04,
Ben Reiter,found,3108869,1987-06-27,,2011-06-23,
Bernardo Sopai,miss,,,,,
Cong Wang,ambiguous,,,,,3 MMA ids
Maxim Fedorov,miss,,,,,
Omar El Dafrawy,found,5215143,1995-04-03,Egypt,2017-05-05,
Jonas Magard,found,4291016,1992-06-08,Denmark,2014-02-22,
Yohei Sakamoto,miss,3087048,,,,no dob on record
Tomasz Narkun,found,3161787,1989-12-03,Poland,2009-11-15,
Alisson Murilo,miss,,,,,
Dominic Mazzotta,found,3162817,1987-06-17,,2013-01-26,
